countriesAndTerritories,Medicos por 10000 habitantes 2019,Medicos por 10000 habitantes 2020,day,month,year,cases,deaths,continentExp
Afghanistan,2.125,2.538,1,9,2020,34,4,Asia
Afghanistan,2.125,2.538,31,8,2020,19,0,Asia
Afghanistan,2.125,2.538,30,8,2020,3,0,Asia
Afghanistan,2.125,2.538,29,8,2020,11,1,Asia
Afghanistan,2.125,2.538,28,8,2020,3,0,Asia
Afghanistan,2.125,2.538,27,8,2020,55,4,Asia
Afghanistan,2.125,2.538,26,8,2020,1,0,Asia
Afghanistan,2.125,2.538,25,8,2020,71,10,Asia
Afghanistan,2.125,2.538,24,8,2020,0,0,Asia
Afghanistan,2.125,2.538,23,8,2020,105,2,Asia
Afghanistan,2.125,2.538,22,8,2020,38,0,Asia
Afghanistan,2.125,2.538,21,8,2020,97,2,Asia
Afghanistan,2.125,2.538,20,8,2020,160,8,Asia
Afghanistan,2.125,2.538,19,8,2020,0,0,Asia
Afghanistan,2.125,2.538,18,8,2020,3,0,Asia
Afghanistan,2.125,2.538,17,8,2020,45,5,Asia
Afghanistan,2.125,2.538,16,8,2020,120,7,Asia
Afghanistan,2.125,2.538,15,8,2020,7,0,Asia
Afghanistan,2.125,2.538,14,8,2020,79,9,Asia
Afghanistan,2.125,2.538,13,8,2020,76,10,Asia
Afghanistan,2.125,2.538,12,8,2020,215,32,Asia
Afghanistan,2.125,2.538,11,8,2020,0,0,Asia
Afghanistan,2.125,2.538,10,8,2020,0,0,Asia
Afghanistan,2.125,2.538,9,8,2020,39,5,Asia
Afghanistan,2.125,2.538,8,8,2020,78,9,Asia
Afghanistan,2.125,2.538,7,8,2020,41,0,Asia
Afghanistan,2.125,2.538,6,8,2020,67,4,Asia
Afghanistan,2.125,2.538,5,8,2020,82,6,Asia
Afghanistan,2.125,2.538,4,8,2020,37,4,Asia
Afghanistan,2.125,2.538,3,8,2020,0,1,Asia
Afghanistan,2.125,2.538,2,8,2020,0,0,Asia
Afghanistan,2.125,2.538,1,8,2020,168,12,Asia
Afghanistan,2.125,2.538,31,7,2020,71,0,Asia
Afghanistan,2.125,2.538,30,7,2020,0,0,Asia
Afghanistan,2.125,2.538,29,7,2020,103,1,Asia
Afghanistan,2.125,2.538,28,7,2020,105,1,Asia
Afghanistan,2.125,2.538,27,7,2020,106,10,Asia
Afghanistan,2.125,2.538,26,7,2020,121,13,Asia
Afghanistan,2.125,2.538,25,7,2020,108,35,Asia
Afghanistan,2.125,2.538,24,7,2020,13,0,Asia
Afghanistan,2.125,2.538,23,7,2020,188,21,Asia
Afghanistan,2.125,2.538,22,7,2020,112,4,Asia
Afghanistan,2.125,2.538,21,7,2020,140,5,Asia
Afghanistan,2.125,2.538,20,7,2020,174,17,Asia
Afghanistan,2.125,2.538,19,7,2020,12,17,Asia
Afghanistan,2.125,2.538,18,7,2020,219,32,Asia
Afghanistan,2.125,2.538,17,7,2020,76,21,Asia
Afghanistan,2.125,2.538,16,7,2020,254,49,Asia
Afghanistan,2.125,2.538,15,7,2020,285,33,Asia
Afghanistan,2.125,2.538,14,7,2020,4,2,Asia
Afghanistan,2.125,2.538,13,7,2020,0,0,Asia
Afghanistan,2.125,2.538,12,7,2020,85,16,Asia
Afghanistan,2.125,2.538,11,7,2020,458,37,Asia
Afghanistan,2.125,2.538,10,7,2020,255,20,Asia
Afghanistan,2.125,2.538,9,7,2020,59,1,Asia
Afghanistan,2.125,2.538,8,7,2020,210,16,Asia
Afghanistan,2.125,2.538,7,7,2020,433,56,Asia
Afghanistan,2.125,2.538,6,7,2020,279,38,Asia
Afghanistan,2.125,2.538,5,7,2020,348,7,Asia
Afghanistan,2.125,2.538,4,7,2020,302,12,Asia
Afghanistan,2.125,2.538,3,7,2020,186,33,Asia
Afghanistan,2.125,2.538,2,7,2020,319,28,Asia
Afghanistan,2.125,2.538,1,7,2020,279,13,Asia
Afghanistan,2.125,2.538,30,6,2020,271,12,Asia
Afghanistan,2.125,2.538,29,6,2020,351,18,Asia
Afghanistan,2.125,2.538,28,6,2020,165,20,Asia
Afghanistan,2.125,2.538,27,6,2020,276,8,Asia
Afghanistan,2.125,2.538,26,6,2020,460,36,Asia
Afghanistan,2.125,2.538,25,6,2020,234,21,Asia
Afghanistan,2.125,2.538,24,6,2020,338,20,Asia
Afghanistan,2.125,2.538,23,6,2020,310,17,Asia
Afghanistan,2.125,2.538,22,6,2020,409,12,Asia
Afghanistan,2.125,2.538,21,6,2020,546,21,Asia
Afghanistan,2.125,2.538,20,6,2020,346,2,Asia
Afghanistan,2.125,2.538,19,6,2020,658,42,Asia
Afghanistan,2.125,2.538,18,6,2020,564,13,Asia
Afghanistan,2.125,2.538,17,6,2020,783,13,Asia
Afghanistan,2.125,2.538,16,6,2020,761,7,Asia
Afghanistan,2.125,2.538,15,6,2020,664,20,Asia
Afghanistan,2.125,2.538,14,6,2020,556,5,Asia
Afghanistan,2.125,2.538,13,6,2020,656,20,Asia
Afghanistan,2.125,2.538,12,6,2020,747,21,Asia
Afghanistan,2.125,2.538,11,6,2020,684,21,Asia
Afghanistan,2.125,2.538,10,6,2020,542,15,Asia
Afghanistan,2.125,2.538,9,6,2020,575,12,Asia
Afghanistan,2.125,2.538,8,6,2020,791,30,Asia
Afghanistan,2.125,2.538,7,6,2020,582,18,Asia
Afghanistan,2.125,2.538,6,6,2020,915,9,Asia
Afghanistan,2.125,2.538,5,6,2020,787,6,Asia
Afghanistan,2.125,2.538,4,6,2020,758,24,Asia
Afghanistan,2.125,2.538,3,6,2020,759,5,Asia
Afghanistan,2.125,2.538,2,6,2020,545,8,Asia
Afghanistan,2.125,2.538,1,6,2020,680,8,Asia
Afghanistan,2.125,2.538,31,5,2020,866,3,Asia
Afghanistan,2.125,2.538,30,5,2020,623,11,Asia
Afghanistan,2.125,2.538,29,5,2020,580,8,Asia
Afghanistan,2.125,2.538,28,5,2020,625,7,Asia
Afghanistan,2.125,2.538,27,5,2020,658,1,Asia
Afghanistan,2.125,2.538,26,5,2020,591,1,Asia
Afghanistan,2.125,2.538,25,5,2020,584,2,Asia
Afghanistan,2.125,2.538,24,5,2020,782,11,Asia
Afghanistan,2.125,2.538,23,5,2020,540,12,Asia
Afghanistan,2.125,2.538,22,5,2020,531,6,Asia
Afghanistan,2.125,2.538,21,5,2020,492,9,Asia
Afghanistan,2.125,2.538,20,5,2020,581,5,Asia
Afghanistan,2.125,2.538,19,5,2020,408,4,Asia
Afghanistan,2.125,2.538,18,5,2020,262,1,Asia
Afghanistan,2.125,2.538,17,5,2020,0,0,Asia
Afghanistan,2.125,2.538,16,5,2020,1063,32,Asia
Afghanistan,2.125,2.538,15,5,2020,113,6,Asia
Afghanistan,2.125,2.538,14,5,2020,259,3,Asia
Afghanistan,2.125,2.538,13,5,2020,280,5,Asia
Afghanistan,2.125,2.538,12,5,2020,285,2,Asia
Afghanistan,2.125,2.538,11,5,2020,369,5,Asia
Afghanistan,2.125,2.538,10,5,2020,255,6,Asia
Afghanistan,2.125,2.538,9,5,2020,215,3,Asia
Afghanistan,2.125,2.538,8,5,2020,171,2,Asia
Afghanistan,2.125,2.538,7,5,2020,168,9,Asia
Afghanistan,2.125,2.538,6,5,2020,330,5,Asia
Afghanistan,2.125,2.538,5,5,2020,190,5,Asia
Afghanistan,2.125,2.538,4,5,2020,235,13,Asia
Afghanistan,2.125,2.538,3,5,2020,134,4,Asia
Afghanistan,2.125,2.538,2,5,2020,164,4,Asia
Afghanistan,2.125,2.538,1,5,2020,222,4,Asia
Afghanistan,2.125,2.538,30,4,2020,122,0,Asia
Afghanistan,2.125,2.538,29,4,2020,124,3,Asia
Afghanistan,2.125,2.538,28,4,2020,172,0,Asia
Afghanistan,2.125,2.538,27,4,2020,68,10,Asia
Afghanistan,2.125,2.538,26,4,2020,112,4,Asia
Afghanistan,2.125,2.538,25,4,2020,70,1,Asia
Afghanistan,2.125,2.538,24,4,2020,105,2,Asia
Afghanistan,2.125,2.538,23,4,2020,84,4,Asia
Afghanistan,2.125,2.538,22,4,2020,61,1,Asia
Afghanistan,2.125,2.538,21,4,2020,35,2,Asia
Afghanistan,2.125,2.538,20,4,2020,88,3,Asia
Afghanistan,2.125,2.538,19,4,2020,63,0,Asia
Afghanistan,2.125,2.538,18,4,2020,51,1,Asia
Afghanistan,2.125,2.538,17,4,2020,10,4,Asia
Afghanistan,2.125,2.538,16,4,2020,70,2,Asia
Afghanistan,2.125,2.538,15,4,2020,49,2,Asia
Afghanistan,2.125,2.538,14,4,2020,58,3,Asia
Afghanistan,2.125,2.538,13,4,2020,52,0,Asia
Afghanistan,2.125,2.538,12,4,2020,34,3,Asia
Afghanistan,2.125,2.538,11,4,2020,37,0,Asia
Afghanistan,2.125,2.538,10,4,2020,61,1,Asia
Afghanistan,2.125,2.538,9,4,2020,56,3,Asia
Afghanistan,2.125,2.538,8,4,2020,30,4,Asia
Afghanistan,2.125,2.538,7,4,2020,38,0,Asia
Afghanistan,2.125,2.538,6,4,2020,29,2,Asia
Afghanistan,2.125,2.538,5,4,2020,35,1,Asia
Afghanistan,2.125,2.538,4,4,2020,0,0,Asia
Afghanistan,2.125,2.538,3,4,2020,43,0,Asia
Afghanistan,2.125,2.538,2,4,2020,26,0,Asia
Afghanistan,2.125,2.538,1,4,2020,25,0,Asia
Afghanistan,2.125,2.538,31,3,2020,27,0,Asia
Afghanistan,2.125,2.538,30,3,2020,8,1,Asia
Afghanistan,2.125,2.538,29,3,2020,15,1,Asia
Afghanistan,2.125,2.538,28,3,2020,16,1,Asia
Afghanistan,2.125,2.538,27,3,2020,0,0,Asia
Afghanistan,2.125,2.538,26,3,2020,33,0,Asia
Afghanistan,2.125,2.538,25,3,2020,2,0,Asia
Afghanistan,2.125,2.538,24,3,2020,6,1,Asia
Afghanistan,2.125,2.538,23,3,2020,10,0,Asia
Afghanistan,2.125,2.538,22,3,2020,0,0,Asia
Afghanistan,2.125,2.538,21,3,2020,2,0,Asia
Afghanistan,2.125,2.538,20,3,2020,0,0,Asia
Afghanistan,2.125,2.538,19,3,2020,0,0,Asia
Afghanistan,2.125,2.538,18,3,2020,1,0,Asia
Afghanistan,2.125,2.538,17,3,2020,5,0,Asia
Afghanistan,2.125,2.538,16,3,2020,6,0,Asia
Afghanistan,2.125,2.538,15,3,2020,3,0,Asia
Afghanistan,2.125,2.538,11,3,2020,3,0,Asia
Afghanistan,2.125,2.538,8,3,2020,3,0,Asia
Afghanistan,2.125,2.538,2,3,2020,0,0,Asia
Afghanistan,2.125,2.538,1,3,2020,0,0,Asia
Afghanistan,2.125,2.538,29,2,2020,0,0,Asia
Afghanistan,2.125,2.538,28,2,2020,0,0,Asia
Afghanistan,2.125,2.538,27,2,2020,0,0,Asia
Afghanistan,2.125,2.538,26,2,2020,0,0,Asia
Afghanistan,2.125,2.538,25,2,2020,1,0,Asia
Afghanistan,2.125,2.538,24,2,2020,0,0,Asia
Afghanistan,2.125,2.538,23,2,2020,0,0,Asia
Afghanistan,2.125,2.538,22,2,2020,0,0,Asia
Afghanistan,2.125,2.538,21,2,2020,0,0,Asia
Afghanistan,2.125,2.538,20,2,2020,0,0,Asia
Afghanistan,2.125,2.538,19,2,2020,0,0,Asia
Afghanistan,2.125,2.538,18,2,2020,0,0,Asia
Afghanistan,2.125,2.538,17,2,2020,0,0,Asia
Afghanistan,2.125,2.538,16,2,2020,0,0,Asia
Afghanistan,2.125,2.538,15,2,2020,0,0,Asia
Afghanistan,2.125,2.538,14,2,2020,0,0,Asia
Afghanistan,2.125,2.538,13,2,2020,0,0,Asia
Afghanistan,2.125,2.538,12,2,2020,0,0,Asia
Afghanistan,2.125,2.538,11,2,2020,0,0,Asia
Afghanistan,2.125,2.538,10,2,2020,0,0,Asia
Afghanistan,2.125,2.538,9,2,2020,0,0,Asia
Afghanistan,2.125,2.538,8,2,2020,0,0,Asia
Afghanistan,2.125,2.538,7,2,2020,0,0,Asia
Afghanistan,2.125,2.538,6,2,2020,0,0,Asia
Afghanistan,2.125,2.538,5,2,2020,0,0,Asia
Afghanistan,2.125,2.538,4,2,2020,0,0,Asia
Afghanistan,2.125,2.538,3,2,2020,0,0,Asia
Afghanistan,2.125,2.538,2,2,2020,0,0,Asia
Afghanistan,2.125,2.538,1,2,2020,0,0,Asia
Afghanistan,2.125,2.538,31,1,2020,0,0,Asia
Afghanistan,2.125,2.538,30,1,2020,0,0,Asia
Afghanistan,2.125,2.538,29,1,2020,0,0,Asia
Afghanistan,2.125,2.538,28,1,2020,0,0,Asia
Afghanistan,2.125,2.538,27,1,2020,0,0,Asia
Afghanistan,2.125,2.538,26,1,2020,0,0,Asia
Afghanistan,2.125,2.538,25,1,2020,0,0,Asia
Afghanistan,2.125,2.538,24,1,2020,0,0,Asia
Afghanistan,2.125,2.538,23,1,2020,0,0,Asia
Afghanistan,2.125,2.538,22,1,2020,0,0,Asia
Afghanistan,2.125,2.538,21,1,2020,0,0,Asia
