Fecha,FT-06017,TT-06017,TIT-06022,PT-06020A,PT-06021,PY-06020A,PDIT-06022A,EZY-06014,EZY-06004,Estado
11/15/2021 1:00,0,85.36925507,93.11827087,1186.523315,45.38909149,0,-0.200806618,100,100,OFF
11/15/2021 2:00,0,84.87165833,92.66162872,1186.610352,45.38909149,0,-0.200806618,100,100,OFF
11/15/2021 3:00,0,84.4211731,92.42072296,1185.469116,45.38909149,0,-0.200806618,100,100,OFF
11/15/2021 4:00,0,83.89706421,92.06550598,1185.469116,45.38909149,0,-0.200806618,100,100,OFF
11/15/2021 5:00,0,83.46865845,91.70444489,1185.469116,45.38909149,0,-0.200806618,100,100,OFF
11/15/2021 6:00,0,82.95780945,91.46395111,1184.461182,45.38909149,0,-0.200806618,100,100,OFF
11/15/2021 7:00,0,82.54264832,91.17871857,1184.512695,45.38909149,0,-0.200806618,100,100,OFF
11/15/2021 8:00,0,82.04064178,91.06536865,1184.512695,45.38909149,0,-0.200806618,100,100,OFF
11/15/2021 9:00,0,81.75356293,90.70886993,1184.512695,45.38909149,0,-0.200806618,100,100,OFF
11/15/2021 10:00,0,81.52832031,90.73408508,1183.49585,44.38407898,0,-0.200806618,100,100,OFF
11/15/2021 11:00,0,81.46207428,90.73763275,1183.49585,44.38407898,0,-0.200806618,100,100,OFF
11/15/2021 12:00,0,81.47090912,90.7964859,1183.198486,43.36336517,0,-0.200806618,100,100,OFF
11/15/2021 13:00,0,81.40466309,90.65803528,1183.198486,44.39192963,0,-0.200806618,100,100,OFF
11/15/2021 14:00,0,81.28982544,90.51158905,1183.198486,44.39192963,0,-0.200806618,100,100,OFF
11/15/2021 15:00,0,81.02188873,90.39699554,1183.198486,44.39192963,0,-0.200806618,100,100,OFF
11/15/2021 16:00,0,80.80106354,90.4571228,1182.740112,44.39192963,0,-0.200806618,100,100,OFF
11/15/2021 17:00,0,80.55815125,90.15779877,1182.689087,44.39192963,0,-0.200806618,100,100,OFF
11/15/2021 18:00,0,80.31524658,89.54360962,1256.467651,44.39192963,7.575174332,-0.200806618,100,100,OA
11/15/2021 19:00,3193.908447,102.3091965,99.34658051,1250.130737,47.42266846,32.03084946,2.538870811,100,100,ON
11/15/2021 20:00,4125.914551,103.5885315,99.78218079,1209.383911,48.1842804,37.62453461,3.249759674,100,100,ON
11/15/2021 21:00,6794.636719,102.7449646,99.05168915,1129.553345,60.37789917,39.12549591,3.424302101,100,100,ON
11/15/2021 22:00,7347.775879,102.8067932,98.94194031,1090.027954,50.06082916,40.3551178,3.831332207,100,100,ON
11/15/2021 23:00,7760.25,102.4372787,98.54769897,1089.974854,51.18361664,40.3551178,4.07653904,100,100,ON
11/16/2021 0:00,7786.126465,102.5432739,98.6599884,1089.127441,51.18361664,40.87036514,4.232708931,100,100,ON
11/16/2021 1:00,7825.099609,103.5487747,99.78651428,1090.328125,51.18361664,40.87036514,4.201616287,100,100,ON
11/16/2021 2:00,8122.896484,104.2981186,100.9498215,1069.800659,87.85869598,41.32723236,4.200202942,100,100,ON
11/16/2021 3:00,8105.206543,105.3301239,101.9315033,1069.907593,78.4288559,41.32723236,4.200202942,100,100,ON
11/16/2021 4:00,8014.597168,105.8689423,102.4068146,1069.951172,70.62431335,41.32723236,4.270161629,100,100,ON
11/16/2021 5:00,8101.641602,106.1103745,102.5653458,1070.00769,61.20232391,41.32723236,4.36979866,100,100,ON
11/16/2021 6:00,8179.846191,106.481369,102.9368515,1070.098022,61.32794952,41.32723236,4.41926384,100,100,ON
11/16/2021 7:00,8170.52832,106.8214493,103.3929443,1069.960083,67.80556488,41.32723236,4.401597977,100,100,ON
11/16/2021 8:00,8069.672363,107.0628891,103.483284,1071.115845,55.42350769,41.32723236,4.437637329,100,100,ON
11/16/2021 9:00,8092.087891,106.8818054,103.2688828,1070.477295,64.7041626,41.32723236,4.487102509,100,100,ON
11/16/2021 10:00,8137.565918,106.554985,102.9753799,1070.149292,76.19113922,41.32723236,4.541514397,100,100,ON
11/16/2021 11:00,8289.942383,106.325325,102.8329468,1070.149292,85.19698334,41.83007813,4.599459648,100,100,ON
11/16/2021 12:00,9213.219727,105.9072189,102.6739197,1009.992615,52.00018311,40.40028,3.866664886,100,100,ON
11/16/2021 13:00,9492.668945,105.7879715,102.601738,1010.142639,52.00018311,40.40028,3.867371559,100,100,ON
11/16/2021 14:00,9613.249023,105.6996384,102.3812561,1010.441833,52.00018311,40.40028,3.822145462,100,100,ON
11/16/2021 15:00,9531.092773,105.6068954,102.2471924,1010.093018,53.17793274,40.40028,3.836278915,100,100,ON
11/16/2021 16:00,9736.209961,105.536232,102.1243362,1020.365356,53.31926727,40.20651245,3.904823303,100,100,ON
11/16/2021 17:00,10085.4502,105.4213943,102.1761932,1040.22937,89.23273468,40.5495491,3.937329292,100,100,ON
11/16/2021 18:00,9905.832031,105.4832306,102.0790787,1039.990479,66.24308777,40.57024002,3.888570786,100,100,ON
